MetaboLightsID	ChEBIId	CompoundName	KEGGPathwaysMappings
MTBLC48814	CHEBI:48814	trichloroacetaldehyde	Chloroalkane and chloroalkene degradation; Metabolism of xenobiotics by cytochrome P450; Microbial metabolism in diverse environments; Chemical carcinogenesis
MTBLC48947	CHEBI:48947	clavulanic acid	Clavulanic acid biosynthesis; Biosynthesis of antibiotics; Penicillins
MTBLC48957	CHEBI:48957	N(2)-succinyl-L-glutamic acid	Arginine and proline metabolism; Metabolic pathways
MTBLC48991	CHEBI:48991	7-methylxanthine	Caffeine metabolism; Metabolic pathways; Biosynthesis of secondary metabolites; Microbial metabolism in diverse environments
MTBLC49000	CHEBI:49000	2-phenylethanol	Phenylalanine metabolism
MTBLC490095	CHEBI:490095	esculetin	Biosynthesis of phenylpropanoids
MTBLC49014	CHEBI:49014	(S)-1-piperideine-6-carboxylic acid	Lysine degradation; Tropane, piperidine and pyridine alkaloid biosynthesis; Biosynthesis of plant secondary metabolites; Biosynthesis of alkaloids derived from ornithine, lysine and nicotinic acid; Metabolic pathways; Biosynthesis of secondary metabolites
MTBLC4911	CHEBI:4911	etoposide	Bile secretion
MTBLC4917	CHEBI:4917	eugenol	Phenylpropanoid biosynthesis
MTBLC4918	CHEBI:4918	O-methyleugenol	Phenylpropanoid biosynthesis
MTBLC49260	CHEBI:49260	4-(L-gamma-glutamylamino)butanoic acid	Arginine and proline metabolism; Metabolic pathways
MTBLC49584	CHEBI:49584	4-ethylphenol	Bisphenol degradation; Microbial metabolism in diverse environments
MTBLC4991	CHEBI:4991	iron(III)  dicitrate	ABC transporters
MTBLC50158	CHEBI:50158	chavicol	Phenylpropanoid biosynthesis
MTBLC50169	CHEBI:50169	3alpha-hydroxy-5alpha-pregnan-20-one	Steroid hormone biosynthesis
MTBLC5019	CHEBI:5019	ferrichrome	ABC transporters
MTBLC50232	CHEBI:50232	(+)-neoisodihydrocarveol	Limonene and pinene degradation
MTBLC50233	CHEBI:50233	(+)-isodihydrocarveol	Limonene and pinene degradation
MTBLC50235	CHEBI:50235	(+)-dihydrocarveol	Limonene and pinene degradation
MTBLC50271	CHEBI:50271	(1R,2S,5S,6S)-2-(3-carboxypropanoyl)-5-[(1-carboxyvinyl)oxy]-6-hydroxycyclohex-3-ene-1-carboxylic acid	Ubiquinone and other terpenoid-quinone biosynthesis; Metabolic pathways; Biosynthesis of secondary metabolites
MTBLC50305	CHEBI:50305	podophyllotoxin	Biosynthesis of phenylpropanoids; Biosynthesis of secondary metabolites
MTBLC50371	CHEBI:50371	(R)-rosmarinic acid	Tyrosine metabolism
MTBLC50385	CHEBI:50385	hemin	ABC transporters
MTBLC50436	CHEBI:50436	10beta-hydroxytaxa-4(20),11-dien-5alpha-yl acetate	Diterpenoid biosynthesis
MTBLC50450	CHEBI:50450	1-naphthylamine	Metabolism of xenobiotics by cytochrome P450
MTBLC50519	CHEBI:50519	sulfoacetic acid	Taurine and hypotaurine metabolism
MTBLC50545	CHEBI:50545	trans-isoeugenol	Phenylpropanoid biosynthesis
MTBLC50586	CHEBI:50586	9xi-episterol	Steroid biosynthesis; Metabolic pathways; Biosynthesis of secondary metabolites; Biosynthesis of antibiotics
MTBLC50591	CHEBI:50591	4beta-methylzymosterol-4alpha-carboxylic acid	Steroid biosynthesis; Metabolic pathways; Biosynthesis of antibiotics
MTBLC50602	CHEBI:50602	precorrin-2	Porphyrin and chlorophyll metabolism; Metabolic pathways; Biosynthesis of secondary metabolites
MTBLC50605	CHEBI:50605	2-hydroxy-5-(methylsulfanyl)-3-oxopent-1-enyl phosphate	Cysteine and methionine metabolism; Metabolic pathways
MTBLC50651	CHEBI:50651	myristoyl-[acyl-carrier protein]	Fatty acid biosynthesis; Lipopolysaccharide biosynthesis; Metabolic pathways; Fatty acid metabolism
MTBLC5070	CHEBI:5070	flavanone	Biosynthesis of plant secondary metabolites
MTBLC50710	CHEBI:50710	dihomomethionine	Glucosinolate biosynthesis; 2-Oxocarboxylic acid metabolism
MTBLC50711	CHEBI:50711	trihomomethionine	Glucosinolate biosynthesis; 2-Oxocarboxylic acid metabolism
MTBLC50712	CHEBI:50712	tetrahomomethionine	Glucosinolate biosynthesis; 2-Oxocarboxylic acid metabolism
MTBLC50713	CHEBI:50713	pentahomomethionine	Glucosinolate biosynthesis; 2-Oxocarboxylic acid metabolism
MTBLC50714	CHEBI:50714	hexahomomethionine	Glucosinolate biosynthesis; 2-Oxocarboxylic acid metabolism
MTBLC50717	CHEBI:50717	1-methylnaphthalene	Naphthalene degradation; Microbial metabolism in diverse environments; Degradation of aromatic compounds; Naphthalene family
MTBLC507499	CHEBI:507499	tricetin	Flavonoid biosynthesis
MTBLC51460	CHEBI:51460	albaflavenone	Sesquiterpenoid and triterpenoid biosynthesis; Biosynthesis of antibiotics
MTBLC5202	CHEBI:5202	fustin	Flavonoid biosynthesis
MTBLC52023	CHEBI:52023	hyodeoxycholic acid	Secondary bile acid biosynthesis
MTBLC52030	CHEBI:52030	murideoxycholic acid	Secondary bile acid biosynthesis
MTBLC52043	CHEBI:52043	7-methyl-3-oxooct-6-enoyl-CoA	Geraniol degradation
MTBLC52086	CHEBI:52086	glyceollin III	Isoflavonoid biosynthesis
MTBLC52367	CHEBI:52367	1-naphthaldehyde	Naphthalene degradation; Microbial metabolism in diverse environments; Degradation of aromatic compounds
MTBLC52368	CHEBI:52368	2-naphthaldehyde	Naphthalene degradation; Microbial metabolism in diverse environments; Degradation of aromatic compounds
MTBLC6441	CHEBI:6441	levacetylmethadol	Drug metabolism - cytochrome P450
MTBLC64555	CHEBI:64555	trans-p-coumaryl alcohol	Phenylpropanoid biosynthesis; Biosynthesis of phenylpropanoids; Metabolic pathways; Biosynthesis of secondary metabolites
MTBLC64557	CHEBI:64557	trans-sinapyl alcohol	Phenylpropanoid biosynthesis; Biosynthesis of phenylpropanoids; Metabolic pathways; Biosynthesis of secondary metabolites
MTBLC64685	CHEBI:64685	methylselenol	Selenocompound metabolism
MTBLC64729	CHEBI:64729	glutathioselenol	Selenocompound metabolism
MTBLC64962	CHEBI:64962	glucobrassicin(1-)	Tryptophan metabolism; Glucosinolate biosynthesis; Biosynthesis of secondary metabolites; 2-Oxocarboxylic acid metabolism
MTBLC6506	CHEBI:6506	Littorine	Tropane, piperidine and pyridine alkaloid biosynthesis; Biosynthesis of alkaloids derived from ornithine, lysine and nicotinic acid; Metabolic pathways; Biosynthesis of secondary metabolites
MTBLC65108	CHEBI:65108	gamma-L-glutamylbutirosin B	Butirosin and neomycin biosynthesis; Biosynthesis of antibiotics
MTBLC65110	CHEBI:65110	butirosin B	Butirosin and neomycin biosynthesis; Biosynthesis of antibiotics
MTBLC65112	CHEBI:65112	butirosin A	Butirosin and neomycin biosynthesis; Biosynthesis of antibiotics
MTBLC6601	CHEBI:6601	lycorine	Isoquinoline alkaloid biosynthesis; Biosynthesis of alkaloids derived from shikimate pathway; Biosynthesis of secondary metabolites
MTBLC66331	CHEBI:66331	xanthohumol	Flavonoid biosynthesis
MTBLC6641	CHEBI:6641	Magnoflorine	Isoquinoline alkaloid biosynthesis; Biosynthesis of secondary metabolites
MTBLC6664	CHEBI:6664	malonylapiin	Flavone and flavonol biosynthesis
MTBLC6698	CHEBI:6698	(-)-matairesinol	Biosynthesis of phenylpropanoids; Biosynthesis of secondary metabolites
MTBLC67168	CHEBI:67168	UDP-N-acetyl-alpha-D-galactosamine	Amino sugar and nucleotide sugar metabolism; Metabolic pathways
MTBLC67204	CHEBI:67204	carboxynorspermidine	Arginine and proline metabolism
MTBLC67237	CHEBI:67237	(22R)-22-hydroxycholesterol	Steroid hormone biosynthesis; Metabolic pathways
MTBLC67264	CHEBI:67264	geranic acid	Geraniol degradation; Biosynthesis of antibiotics
MTBLC67347	CHEBI:67347	(+)-pisatin	Isoflavonoid biosynthesis; Biosynthesis of phenylpropanoids; Biosynthesis of secondary metabolites
MTBLC6736	CHEBI:6736	melittin	Cationic antimicrobial peptide (CAMP) resistance
MTBLC6750	CHEBI:6750	(+)-menthofuran	Monoterpenoid biosynthesis; Biosynthesis of secondary metabolites
MTBLC68329	CHEBI:68329	syringic acid	Aminobenzoate degradation; Microbial metabolism in diverse environments
MTBLC68330	CHEBI:68330	gallocatechin	Flavonoid biosynthesis; Biosynthesis of secondary metabolites
MTBLC68352	CHEBI:68352	quercetin 3-O-beta-D-glucopyranoside	Flavone and flavonol biosynthesis; Metabolic pathways; Biosynthesis of secondary metabolites
MTBLC68441	CHEBI:68441	1-methyluric acid	Caffeine metabolism
MTBLC68444	CHEBI:68444	1-methyl-7H-xanthine	Caffeine metabolism; Metabolic pathways; Biosynthesis of secondary metabolites; Microbial metabolism in diverse environments
MTBLC68449	CHEBI:68449	1,7-dimethyluric acid	Caffeine metabolism; Metabolic pathways; Biosynthesis of secondary metabolites
MTBLC68531	CHEBI:68531	3,7-dimethyluric acid	Caffeine metabolism
MTBLC68555	CHEBI:68555	5-sulfosalicylic acid	Naphthalene degradation
MTBLC6877	CHEBI:6877	trans-isomethyleugenol	Phenylpropanoid biosynthesis
MTBLC68947	CHEBI:68947	13-oxo-9Z,11E-ODE	Linoleic acid metabolism
MTBLC69042	CHEBI:69042	Demethylsuberosin	Biosynthesis of phenylpropanoids
MTBLC691622	CHEBI:691622	1,3,7-trimethyluric acid	Caffeine metabolism; Microbial metabolism in diverse environments
MTBLC692	CHEBI:692	10,16-Dihydroxyhexadecanoic acid	Cutin, suberine and wax biosynthesis
MTBLC6925	CHEBI:6925	microcystin-LR	Nonribosomal peptide structures; Bile secretion
MTBLC6941	CHEBI:6941	Minovincinine	Indole alkaloid biosynthesis; Biosynthesis of secondary metabolites
MTBLC69414	CHEBI:69414	hygromycin A	Biosynthesis of antibiotics
MTBLC69438	CHEBI:69438	3-hydroxy-2-methyl-4-pyrone	Polyketide sugar unit biosynthesis; Biosynthesis of antibiotics
MTBLC70031	CHEBI:70031	2'-hydroxygenistein	Isoflavonoid biosynthesis
MTBLC70060	CHEBI:70060	Landomycin D	Biosynthesis of type II polyketide products; Biosynthesis of antibiotics
MTBLC70431	CHEBI:70431	p-coumaroylputrescine	Arginine and proline metabolism
MTBLC7061	CHEBI:7061	myxochelin B	Biosynthesis of siderophore group nonribosomal peptides
MTBLC7101	CHEBI:7101	N(5)-[(Z)-amino(hydroxyimino)methyl]ornithine	Arginine and proline metabolism; Biosynthesis of antibiotics
MTBLC71045	CHEBI:71045	bisdemethoxycurcumin	Stilbenoid, diarylheptanoid and gingerol biosynthesis; Biosynthesis of secondary metabolites
MTBLC71201	CHEBI:71201	xanthurenate	Tryptophan metabolism
MTBLC71215	CHEBI:71215	(4-coumaroyl)acetyl-CoA	Stilbenoid, diarylheptanoid and gingerol biosynthesis; Biosynthesis of secondary metabolites
MTBLC71236	CHEBI:71236	feruloylacetyl-CoA	Stilbenoid, diarylheptanoid and gingerol biosynthesis; Biosynthesis of secondary metabolites
MTBLC71335	CHEBI:71335	7,2'-dihydroxy-4'-methoxyisoflavanol	Isoflavonoid biosynthesis; Biosynthesis of secondary metabolites
MTBLC71690	CHEBI:71690	staphyloxanthin	Carotenoid biosynthesis
MTBLC71961	CHEBI:71961	lividomycin A	Biosynthesis of antibiotics
MTBLC71962	CHEBI:71962	lividomycin B	Biosynthesis of antibiotics
MTBLC71970	CHEBI:71970	proansamycin X	Biosynthesis of ansamycins; Biosynthesis of antibiotics
MTBLC71978	CHEBI:71978	surfactin C	Nonribosomal peptide structures
MTBLC7347	CHEBI:7347	2-trimethylaminoethylphosphonic acid	Phosphonate and phosphinate metabolism
MTBLC73686	CHEBI:73686	nebramycin 5'	Biosynthesis of antibiotics
MTBLC73688	CHEBI:73688	Ac-Asp-Glu	Alanine, aspartate and glutamate metabolism; Metabolic pathways; Neuroactive ligand-receptor interaction
MTBLC73722	CHEBI:73722	hexadecanedioic acid	Cutin, suberine and wax biosynthesis; Metabolic pathways
MTBLC73731	CHEBI:73731	(11Z,14Z)-icosadienoic acid	Biosynthesis of unsaturated fatty acids
MTBLC7386	CHEBI:7386	4-acetamidobutanal	Arginine and proline metabolism; Metabolic pathways
MTBLC74809	CHEBI:74809	pelargonidin 3-O-beta-D-sambubioside	Anthocyanin biosynthesis
MTBLC74810	CHEBI:74810	delphinidin 3-O-beta-D-sambubioside	Anthocyanin biosynthesis
MTBLC74811	CHEBI:74811	cyanidin 3-O-beta-D-sambubioside	Anthocyanin biosynthesis
MTBLC74812	CHEBI:74812	apiforol	Flavonoid biosynthesis
MTBLC74957	CHEBI:74957	4',6,7-trihydroxyisoflavone	Isoflavonoid biosynthesis; Biosynthesis of secondary metabolites
MTBLC74960	CHEBI:74960	homoeriodictyol	Flavonoid biosynthesis
MTBLC7508	CHEBI:7508	framycetin	Butirosin and neomycin biosynthesis; Biosynthesis of antibiotics
MTBLC75091	CHEBI:75091	aclacinomycin N	Biosynthesis of type II polyketide products; Biosynthesis of antibiotics
MTBLC75093	CHEBI:75093	aclacinomycin Y	Biosynthesis of type II polyketide products; Biosynthesis of antibiotics
MTBLC75095	CHEBI:75095	chrysin	Flavonoid biosynthesis
MTBLC7510	CHEBI:7510	neopinone	Isoquinoline alkaloid biosynthesis; Metabolic pathways; Biosynthesis of secondary metabolites
MTBLC75117	CHEBI:75117	(13Z,16Z)-docosadienoic acid	Biosynthesis of unsaturated fatty acids
MTBLC75244	CHEBI:75244	aklaviketone	Biosynthesis of type II polyketide products; Biosynthesis of antibiotics
MTBLC75291	CHEBI:75291	epsilon-rhodomycinone	Biosynthesis of type II polyketide products; Biosynthesis of antibiotics
MTBLC7542	CHEBI:7542	neurotensin	Neuroactive ligand-receptor interaction
MTBLC75431	CHEBI:75431	ghrelin	Neuroactive ligand-receptor interaction
MTBLC75432	CHEBI:75432	2''-O-(beta-D-glucosyl)isovitexin	Flavone and flavonol biosynthesis
MTBLC75544	CHEBI:75544	feruloylagmatine	Arginine and proline metabolism
MTBLC75677	CHEBI:75677	delphinidin 3-O-(6-O-(E)-4-coumaroyl-beta-D-glucoside)	Anthocyanin biosynthesis
MTBLC75856	CHEBI:75856	3-methylfumaryl-CoA	Carbon fixation pathways in prokaryotes; Microbial metabolism in diverse environments; Carbon metabolism
MTBLC75920	CHEBI:75920	(R,R)-2-methyl-6-phytylhydroquinone	Ubiquinone and other terpenoid-quinone biosynthesis; Metabolic pathways; Biosynthesis of secondary metabolites
MTBLC9169	CHEBI:9169	sisomycin	Biosynthesis of antibiotics
MTBLC9172	CHEBI:9172	Skimmianine	Biosynthesis of alkaloids derived from shikimate pathway
MTBLC9173	CHEBI:9173	slaframine	Tropane, piperidine and pyridine alkaloid biosynthesis; Biosynthesis of alkaloids derived from ornithine, lysine and nicotinic acid; Biosynthesis of secondary metabolites
MTBLC9188	CHEBI:9188	solanine	Biosynthesis of alkaloids derived from terpenoid and polyketide
MTBLC9190	CHEBI:9190	Solasodine	Biosynthesis of alkaloids derived from terpenoid and polyketide
MTBLC9192	CHEBI:9192	solavetivone	Sesquiterpenoid and triterpenoid biosynthesis
MTBLC92	CHEBI:92	(-)-hygrine	Biosynthesis of alkaloids derived from ornithine, lysine and nicotinic acid; Biosynthesis of secondary metabolites
MTBLC9200	CHEBI:9200	soraphen A	Type I polyketide structures
MTBLC9215	CHEBI:9215	spectinomycin	Biosynthesis of antibiotics
MTBLC9260	CHEBI:9260	Stemmadenine	Indole alkaloid biosynthesis; Biosynthesis of alkaloids derived from shikimate pathway; Metabolic pathways; Biosynthesis of secondary metabolites
MTBLC9261	CHEBI:9261	sterculic acid	Biosynthesis of plant secondary metabolites
MTBLC929	CHEBI:929	2,5-diamino-6-ribosylamino-4(3H)pyrimidinone 5'-triphosphate	Folate biosynthesis; Metabolic pathways
MTBLC9367	CHEBI:9367	swainsonine	Tropane, piperidine and pyridine alkaloid biosynthesis; Biosynthesis of alkaloids derived from ornithine, lysine and nicotinic acid
MTBLC9402	CHEBI:9402	taraxerol	Sesquiterpenoid and triterpenoid biosynthesis; Biosynthesis of secondary metabolites
MTBLC9470	CHEBI:9470	tetracenomycin C	Biosynthesis of type II polyketide products; Biosynthesis of antibiotics
MTBLC9479	CHEBI:9479	Tetrahydroalstonine	Indole alkaloid biosynthesis; Biosynthesis of secondary metabolites
MTBLC9485	CHEBI:9485	Tetrahydroharmine	Biosynthesis of alkaloids derived from shikimate pathway
MTBLC9519	CHEBI:9519	thebaine	Isoquinoline alkaloid biosynthesis; Biosynthesis of alkaloids derived from shikimate pathway; Metabolic pathways; Biosynthesis of secondary metabolites; Opioid analgesics
MTBLC9542	CHEBI:9542	Thienamycin	Carbapenem biosynthesis; Biosynthesis of antibiotics
MTBLC9630	CHEBI:9630	tomatine	Biosynthesis of alkaloids derived from terpenoid and polyketide
MTBLC9774	CHEBI:9774	tubocurarine	Biosynthesis of alkaloids derived from shikimate pathway; Nicotinic cholinergic receptor antagonists
MTBLC9775	CHEBI:9775	tubulosine	Isoquinoline alkaloid biosynthesis
MTBLC98	CHEBI:98	(S)-linalool	Monoterpenoid biosynthesis; Biosynthesis of terpenoids and steroids; Biosynthesis of secondary metabolites; Biosynthesis of antibiotics
MTBLC9907	CHEBI:9907	ursodeoxycholic acid	Secondary bile acid biosynthesis
MTBLC9951	CHEBI:9951	veratramine	Biosynthesis of alkaloids derived from terpenoid and polyketide
MTBLC29700	CHEBI:29700	tylactone	Biosynthesis of 12-, 14- and 16-membered macrolides; Biosynthesis of antibiotics
MTBLC29701	CHEBI:29701	tyrocidine A	Nonribosomal peptide structures
MTBLC29706	CHEBI:29706	10-deoxymethymycin	Biosynthesis of 12-, 14- and 16-membered macrolides; Biosynthesis of antibiotics
MTBLC29865	CHEBI:29865	benzo[a]pyrene	Polycyclic aromatic hydrocarbon degradation; Metabolism of xenobiotics by cytochrome P450; Microbial metabolism in diverse environments; Chemical carcinogenesis
MTBLC299	CHEBI:299	(R)-(+)-citronellal	Geraniol degradation; Biosynthesis of terpenoids and steroids; Biosynthesis of secondary metabolites
MTBLC30021	CHEBI:30021	L-selenomethionine	Selenocompound metabolism
MTBLC30041	CHEBI:30041	taxa-4(20),11-dien-5alpha,13alpha-diol	Diterpenoid biosynthesis; Metabolic pathways; Biosynthesis of secondary metabolites
MTBLC30042	CHEBI:30042	taxa-4(20),11-dien-5alpha-yl acetate	Diterpenoid biosynthesis
MTBLC30109	CHEBI:30109	4alpha-methyl-5alpha-ergosta-8,14,24(28)-trien-3beta-ol	Steroid biosynthesis; Metabolic pathways; Biosynthesis of secondary metabolites
MTBLC30154	CHEBI:30154	5beta-pregnane-3,20-dione	Steroid hormone biosynthesis; Metabolic pathways
MTBLC30200	CHEBI:30200	kaempferol 3-O-glucoside	Flavone and flavonol biosynthesis; Biosynthesis of secondary metabolites
MTBLC30305	CHEBI:30305	N-methylanthraniloyl-CoA	Acridone alkaloid biosynthesis; Biosynthesis of secondary metabolites
MTBLC30308	CHEBI:30308	meso-2,6-diaminopimelate(2-)	Lysine biosynthesis; Metabolic pathways; Biosynthesis of secondary metabolites; Microbial metabolism in diverse environments; Biosynthesis of antibiotics; Biosynthesis of amino acids
MTBLC30632	CHEBI:30632	loganic acid	Monoterpenoid biosynthesis; Biosynthesis of secondary metabolites
MTBLC30633	CHEBI:30633	L-pipecolate	Lysine degradation; Tropane, piperidine and pyridine alkaloid biosynthesis; Biosynthesis of plant secondary metabolites; Biosynthesis of alkaloids derived from ornithine, lysine and nicotinic acid; Metabolic pathways; Biosynthesis of secondary metabolites
MTBLC30747	CHEBI:30747	4-chlorobenzoic acid	DDT degradation; Fluorobenzoate degradation; Dioxin degradation; Metabolic pathways; Microbial metabolism in diverse environments; Degradation of aromatic compounds
MTBLC30748	CHEBI:30748	2,4-dichlorobenzoic acid	Fluorobenzoate degradation; Metabolic pathways; Microbial metabolism in diverse environments
MTBLC30749	CHEBI:30749	4-chlorophenylacetic acid	Tyrosine metabolism; DDT degradation; Microbial metabolism in diverse environments
MTBLC30765	CHEBI:30765	tropic acid	Tropane, piperidine and pyridine alkaloid biosynthesis; Biosynthesis of alkaloids derived from ornithine, lysine and nicotinic acid; Biosynthesis of secondary metabolites
MTBLC30793	CHEBI:30793	2-chlorobenzoic acid	Fluorobenzoate degradation; Microbial metabolism in diverse environments
MTBLC3080	CHEBI:3080	Betanin	Betalain biosynthesis; Biosynthesis of secondary metabolites
MTBLC30807	CHEBI:30807	tetradecanoate	Fatty acid biosynthesis; Metabolic pathways
MTBLC30816	CHEBI:30816	vanillic acid	Aminobenzoate degradation; Microbial metabolism in diverse environments
MTBLC30838	CHEBI:30838	itaconic acid	C5-Branched dibasic acid metabolism
MTBLC30845	CHEBI:30845	2-furoic acid	Furfural degradation; Microbial metabolism in diverse environments
MTBLC3088	CHEBI:3088	bilanafos	Phosphonate and phosphinate metabolism; Biosynthesis of antibiotics
MTBLC30903	CHEBI:30903	(-)-homoisocitric acid	Lysine biosynthesis; Metabolic pathways; Microbial metabolism in diverse environments; Biosynthesis of antibiotics; 2-Oxocarboxylic acid metabolism; Biosynthesis of amino acids
MTBLC3092	CHEBI:3092	bicuculline	GABA-A receptor agonists/antagonists
MTBLC30956	CHEBI:30956	trichloroacetic acid	Chloroalkane and chloroalkene degradation; Metabolism of xenobiotics by cytochrome P450; Microbial metabolism in diverse environments; Chemical carcinogenesis
MTBLC30960	CHEBI:30960	5-pyridoxate	Vitamin B6 metabolism
MTBLC31018	CHEBI:31018	(+)-gallocatechin	Flavonoid biosynthesis; Biosynthesis of secondary metabolites
MTBLC31028	CHEBI:31028	(-)-epiafzelechin	Flavonoid biosynthesis; Biosynthesis of secondary metabolites
MTBLC31031	CHEBI:31031	(13S)-13-dihydrodaunorubicin	Biosynthesis of type II polyketide products; Biosynthesis of antibiotics
MTBLC31035	CHEBI:31035	1,2-bis(4-hydroxyphenyl)propan-2-ol	Bisphenol degradation; Metabolic pathways; Microbial metabolism in diverse environments
MTBLC31042	CHEBI:31042	4-(1-hydroxyethyl)phenol	Bisphenol degradation; Microbial metabolism in diverse environments
MTBLC31047	CHEBI:31047	10-carboxy-13-deoxycarminomycin	Biosynthesis of type II polyketide products; Biosynthesis of antibiotics
MTBLC31048	CHEBI:31048	100-1	Biosynthesis of type II polyketide products; Biosynthesis of antibiotics
MTBLC31051	CHEBI:31051	104-2	Biosynthesis of type II polyketide products; Biosynthesis of antibiotics
MTBLC31056	CHEBI:31056	13-Deoxycarminomycin	Biosynthesis of type II polyketide products; Biosynthesis of antibiotics
MTBLC31057	CHEBI:31057	13-deoxydaunorubicin	Biosynthesis of type II polyketide products; Biosynthesis of antibiotics
MTBLC31058	CHEBI:31058	13-Dihydrocarminomycin	Biosynthesis of type II polyketide products; Biosynthesis of antibiotics
MTBLC31059	CHEBI:31059	13-dihydrodaunorubicin	Biosynthesis of type II polyketide products; Biosynthesis of antibiotics
MTBLC31064	CHEBI:31064	2'-hydroxybiochanin A	Isoflavonoid biosynthesis
MTBLC31080	CHEBI:31080	2-hydroxy-2,3-dihydrogenistein	Isoflavonoid biosynthesis; Biosynthesis of secondary metabolites
MTBLC31103	CHEBI:31103	3,5-dihydroxyphenylacetyl-CoA	Biosynthesis of vancomycin group antibiotics; Biosynthesis of antibiotics
MTBLC31107	CHEBI:31107	3-amino-4,7-dihydroxycoumarin	Novobiocin biosynthesis; Biosynthesis of antibiotics
MTBLC31111	CHEBI:31111	3-dimethylallyl-4-hydroxybenzoic acid	Novobiocin biosynthesis; Biosynthesis of antibiotics
MTBLC31116	CHEBI:31116	3-hexaprenyl-4-hydroxybenzoic acid	Ubiquinone and other terpenoid-quinone biosynthesis; Biosynthesis of secondary metabolites
MTBLC31128	CHEBI:31128	4-hydroxyphenyl acetate	Bisphenol degradation; Metabolic pathways; Microbial metabolism in diverse environments
MTBLC31136	CHEBI:31136	5-hydroxyferuloyl-CoA	Phenylpropanoid biosynthesis; Biosynthesis of phenylpropanoids; Metabolic pathways; Biosynthesis of secondary metabolites
MTBLC31143	CHEBI:31143	7-O-methylvitexin 2''-O-alpha-L-rhamnoside	Flavone and flavonol biosynthesis
MTBLC31144	CHEBI:31144	8-demethyltetracenomycin C	Biosynthesis of type II polyketide products; Biosynthesis of antibiotics
MTBLC31167	CHEBI:31167	Acetylpseudotropine	Tropane, piperidine and pyridine alkaloid biosynthesis
MTBLC31170	CHEBI:31170	O-acetyltropine	Tropane, piperidine and pyridine alkaloid biosynthesis
MTBLC31181	CHEBI:31181	aklavinone	Biosynthesis of type II polyketide products; Biosynthesis of antibiotics
MTBLC31227	CHEBI:31227	apigenin 7-O-neohesperidoside	Flavone and flavonol biosynthesis
MTBLC31230	CHEBI:31230	Aquayamycin	Biosynthesis of type II polyketide products; Biosynthesis of antibiotics
MTBLC31359	CHEBI:31359	carminomycin	Biosynthesis of type II polyketide products; Biosynthesis of antibiotics
MTBLC31432	CHEBI:31432	corynebactin	Biosynthesis of siderophore group nonribosomal peptides; Biosynthesis of secondary metabolites; Biosynthesis of antibiotics
MTBLC31437	CHEBI:31437	Crinine	Isoquinoline alkaloid biosynthesis; Biosynthesis of alkaloids derived from shikimate pathway; Biosynthesis of secondary metabolites
MTBLC31445	CHEBI:31445	cyclic ADP-ribose	Calcium signaling pathway; Oxytocin signaling pathway; Salivary secretion; Pancreatic secretion
MTBLC31461	CHEBI:31461	dehydrorabelomycin	Biosynthesis of type II polyketide products; Biosynthesis of antibiotics
MTBLC31467	CHEBI:31467	descarbamoylnovobiocin	Novobiocin biosynthesis; Biosynthesis of antibiotics
MTBLC31469	CHEBI:31469	desmethyldescarbamoylnovobiocin	Novobiocin biosynthesis; Biosynthesis of antibiotics
MTBLC31491	CHEBI:31491	Dihydrokalafungin	Biosynthesis of type II polyketide products; Biosynthesis of antibiotics
MTBLC31529	CHEBI:31529	ecgonine methyl ester	Tropane, piperidine and pyridine alkaloid biosynthesis; Biosynthesis of alkaloids derived from ornithine, lysine and nicotinic acid; Metabolic pathways; Biosynthesis of secondary metabolites
MTBLC31549	CHEBI:31549	epothilone A	Type I polyketide structures
MTBLC31738	CHEBI:31738	jadomycin B	Biosynthesis of type II polyketide products; Biosynthesis of antibiotics
MTBLC31741	CHEBI:31741	kaempferol 3-O-[6-(4-coumaroyl)-beta-D-glucosyl-(1->2)-beta-D-glucosyl-(1->2)-beta-D-glucoside]	Flavone and flavonol biosynthesis
MTBLC31742	CHEBI:31742	kaempferol 3-O-beta-D-galactoside	Flavone and flavonol biosynthesis
MTBLC31743	CHEBI:31743	kaempferol 3-O-beta-D-glucosyl-(1->2)-beta-D-glucoside	Flavone and flavonol biosynthesis
MTBLC31744	CHEBI:31744	kaempferol 3-O-beta-D-glucosyl-(1->2)-beta-D-glucosyl-(1->2)-beta-D-glucoside	Flavone and flavonol biosynthesis
MTBLC31751	CHEBI:31751	kinamycin D	Biosynthesis of type II polyketide products; Biosynthesis of antibiotics
MTBLC31755	CHEBI:31755	L-4-hydroxyphenylglycine	Monobactam biosynthesis; Biosynthesis of vancomycin group antibiotics; Biosynthesis of antibiotics
MTBLC31763	CHEBI:31763	laricitrin	Flavone and flavonol biosynthesis
MTBLC31788	CHEBI:31788	luteolin 7-O-neohesperidoside	Flavone and flavonol biosynthesis
MTBLC3179	CHEBI:3179	bromobenzene	Metabolism of xenobiotics by cytochrome P450
MTBLC31799	CHEBI:31799	malvidin 3-O-beta-D-glucoside	Anthocyanin biosynthesis
MTBLC31808	CHEBI:31808	Medermycin	Biosynthesis of type II polyketide products; Biosynthesis of antibiotics
MTBLC31832	CHEBI:31832	methyl salicylate	Biosynthesis of phenylpropanoids
MTBLC31856	CHEBI:31856	mithramycin	Biosynthesis of type II polyketide products; Biosynthesis of antibiotics
MTBLC31915	CHEBI:31915	nogalonic acid	Biosynthesis of type II polyketide products; Biosynthesis of antibiotics
